"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kiv A.E.; Semerikov S.O.; Striuk A.M.; Osadchyi V.V.; Vakaliuk T.A.; Nechypurenko P.P.; Bondarenko O.V.; Mintii I.S.; Malchenko S.L.","Kiv, A.E. (6602488378); Semerikov, S.O. (56375008500); Striuk, A.M. (57194524952); Osadchyi, V.V. (57190217440); Vakaliuk, T.A. (57211133927); Nechypurenko, P.P. (57194519666); Bondarenko, O.V. (57211133711); Mintii, I.S. (57204971103); Malchenko, S.L. (24463497700)","6602488378; 56375008500; 57194524952; 57190217440; 57211133927; 57194519666; 57211133711; 57204971103; 24463497700","Advancing Education in Challenging Times: A Review of the XVI International Conference on Mathematics, Science and Technology Education (ICon-MaSTEd 2024)","2024","Journal of Physics: Conference Series","2871","1","011001","","","","1","10.1088/1742-6596/2871/1/011001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209205846&doi=10.1088%2f1742-6596%2f2871%2f1%2f011001&partnerID=40&md5=6d0bb5c046f2e35a826502b331904da6","This paper presents a comprehensive review of the XVI International Conference on Mathematics, Science and Technology Education (ICon-MaSTEd 2024), held from May 15-17, 2024, at Kryvyi Rih State Pedagogical University, Ukraine. The conference, organized in a hybrid format, brought together over 100 attendees from 9 countries, showcasing cutting-edge research and innovations in educational practices amid global challenges. The review synthesizes key themes and findings from 37 selected papers across various domains, including Mathematics Education, Science Education, Computer Science Education, and Educational Technology. Notable trends include the increased integration of artificial intelligence and digital technologies in education, the development of 21st-century skills, and adaptive strategies for education in crises. Particular attention is given to studies addressing the unique educational challenges faced in Ukraine, demonstrating the resilience and innovation of educators and researchers in conflict-affected regions. The paper highlights significant contributions in areas such as online learning environments, visual thinking in mathematics, AI applications in mental health education, and the design of university digital ecosystems.  © Published under licence by IOP Publishing Ltd.","","Adversarial machine learning; Contrastive Learning; Economic and social effects; Medical education; STEM (science, technology, engineering and mathematics); Teaching; Artificial intelligence technologies; Computer Science Education; Cutting edges; Global challenges; Hybrid formats; Mathematics education; Mathematics science and technologies; Science education; Technology education; Ukraine; Educational technology","Conference paper","Final","","Scopus","2-s2.0-85209205846"
"Nigade V.; Bauszat P.; Bal H.; Wang L.","Nigade, Vinod (57194210081); Bauszat, Pablo (55762588500); Bal, Henri (7006758810); Wang, Lin (57188626214)","57194210081; 55762588500; 7006758810; 57188626214","Inference serving with end-to-end latency SLOs over dynamic edge networks","2024","Real-Time Systems","60","2","","239","290","51","2","10.1007/s11241-024-09418-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184224496&doi=10.1007%2fs11241-024-09418-4&partnerID=40&md5=9c680f8a3bd9e11df16a906de7354abb","While high accuracy is of paramount importance for deep learning (DL) inference, serving inference requests on time is equally critical but has not been carefully studied especially when the request has to be served over a dynamic wireless network at the edge. In this paper, we propose Jellyfish—a novel edge DL inference serving system that achieves soft guarantees for end-to-end inference latency service-level objectives (SLO). Jellyfish handles the network variability by utilizing both data and deep neural network (DNN) adaptation to conduct tradeoffs between accuracy and latency. Jellyfish features a new design that enables collective adaptation policies where the decisions for data and DNN adaptations are aligned and coordinated among multiple users with varying network conditions. We propose efficient algorithms to continuously map users and adapt DNNs at runtime, so that we fulfill latency SLOs while maximizing the overall inference accuracy. We further investigate dynamic DNNs, i.e., DNNs that encompass multiple architecture variants, and demonstrate their potential benefit through preliminary experiments. Our experiments based on a prototype implementation and real-world WiFi and LTE network traces show that Jellyfish can meet latency SLOs at around the 99th percentile while maintaining high accuracy. © The Author(s) 2024.","Data adaptation; DNN adaptation; Dynamic DNNs; Dynamic edge networks; Inference serving","Inference engines; Mobile telecommunication systems; Wi-Fi; Data adaptation; Deep neural network adaptation; Dynamic DNN; Dynamic edge network; Dynamic wireless networks; EDGE Networks; End to end latencies; High-accuracy; Inference serving; Neural network adaptation; Deep neural networks","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184224496"
"Habibi M.W.; Buditjahjanto I.G.P.A.","Habibi, Mohammad Wildan (59144107400); Buditjahjanto, I. Gusti Putu Asto (35728306600)","59144107400; 35728306600","Impact of Training Kit-Based Internet of Things to Learn Microcontroller Viewed in Cognitive Domain","2024","TEM Journal","13","2","","1157","1166","9","0","10.18421/TEM132-30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196111907&doi=10.18421%2fTEM132-30&partnerID=40&md5=bac7da647a559d2a80c8f2c4ae5be4ca","– This research aims to find out how effective the IoT microcontroller training kit learning media is and to analyze the effect of using the IoT microcontroller training kit compared to the common microcontroller training kit on students’ cognitive learning outcomes in learning microcontroller and microprocessor programming techniques. The normalized gain method was used to determine the effectiveness of the IoT microcontroller training kit learning media. The ANOVA method was used to determine the effect of using the IoT microcontroller training kit and common microcontroller training kit on the average student cognitive learning outcomes. The research results show that the IoT microcontroller training kit learning media has a normalized gain value of 59.62% in the effective enough category. The average cognitive learning outcomes of students using the IoT microcontroller training kit are greater than those using the regular microcontroller training kit, according to the results of the study using one-way ANOVA, where the p-value is less than the α value of 0.05. This IoT microcontroller training kit can be used to improve students’ cognition regarding microcontroller learning in vocational schools. © 2024 Mohammad Wildan Habibi & I Gusti Putu Asto Buditjahjanto; published by UIKTEN. This work is licensed under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 License.","cognitive domain; IoT; microcontroller; Quality education; training kit","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196111907"
"Dhakal A.; Kulkarni S.G.; Ramakrishnan K.K.","Dhakal, Aditya (57200495213); Kulkarni, Sameer G. (57191339154); Ramakrishnan, K.K. (7101600362)","57200495213; 57191339154; 7101600362","D-STACK: High Throughput DNN Inference by Effective Multiplexing and Spatio-Temporal Scheduling of GPUs","2024","IEEE Transactions on Cloud Computing","12","4","","1344","1358","14","0","10.1109/TCC.2024.3476210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207134247&doi=10.1109%2fTCC.2024.3476210&partnerID=40&md5=6b0d16b48b961c1be7abc09b7a7d3dfe","Hardware accelerators such as GPUs are required for real-time, low latency inference with Deep Neural Networks (DNN). Providing inference services in the cloud can be resource intensive, and effectively utilizing accelerators in the cloud is important. Spatial multiplexing of the GPU, while limiting the GPU resources (GPU%) to each DNN to the right amount, leads to higher GPU utilization and higher inference throughput. Right-sizing the GPU for each DNN the optimal batching of requests to balance throughput and service level objectives (SLOs), and maximizing throughput by appropriately scheduling DNNs are still significant challenges.This article introduces a dynamic and fair spatio-temporal scheduler (D-STACK) for multiple DNNs to run in the GPU concurrently. We develop and validate a model that estimates the parallelism each DNN can utilize and a lightweight optimization formulation to find an efficient batch size for each DNN. Our holistic inference framework provides high throughput while meeting application SLOs. We compare D-STACK with other GPU multiplexing and scheduling methods (e.g., NVIDIA Triton, Clipper, Nexus), using popular DNN models. Our controlled experiments with multiplexing several popular DNN models achieve up to 1.6× improvement in GPU utilization and up to 4× improvement in inference throughput.  © 2013 IEEE.","Datasets; gaze detection; neural networks; text tagging","Deep neural networks; Graphics processing unit; Scheduling algorithms; Dataset; Gaze detection; Hardware accelerators; High-throughput; Network inference; Neural network model; Neural-networks; Service level objective; Spatio-temporal; Text tagging; Computer graphics equipment","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85207134247"
"Shilpika S.; Lusch B.; Vishwanath V.; Papka M.E.","Shilpika, Shilpika (57838188700); Lusch, Bethany (57189092291); Vishwanath, Venkatram (8434374600); Papka, Michael E. (57226848953)","57838188700; 57189092291; 8434374600; 57226848953","An Incremental Multi-Level, Multi-Scale Approach to Assessment of Multifidelity HPC Systems","2024","Proceedings of SC 2024-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis","","","","1576","1587","11","0","10.1109/SCW63240.2024.00197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217183754&doi=10.1109%2fSCW63240.2024.00197&partnerID=40&md5=c023f58750a17fe6cdf6cc7e88220454","With the growing complexity in architecture and the size of large-scale computing systems, monitoring and analyzing system behavior and events has become daunting. Monitoring data amounting to terabytes per day are collected by sensors housed in these massive systems at multiple fidelity levels and varying temporal resolutions. In this work, we develop an incremental version of multiresolution dynamic mode decomposition (mrDMD), which converts high-dimensional data to spatial-temporal patterns at varied frequency ranges. Our incremental implementation of the mrDMD algorithm (I-mrDMD) promptly reveals valuable information in the massive environment log dataset, which is then visually aligned with the processed hardware and job log datasets through our generalizable rack visualization using D3 visualization integrated into the Jupyter Notebook interface. We demonstrate the efficacy of our approach with two use scenarios on a real-world dataset from a Cray XC40 supercomputer, Theta.  © 2024 IEEE.","Dynamic mode decomposition; high performance computing; incremental analysis; mrDMD; online analysis; scalability; visualization","","Conference paper","Final","","Scopus","2-s2.0-85217183754"
"Himeur Y.; Sayed A.N.; Alsalemi A.; Bensaali F.; Amira A.","Himeur, Yassine (55636199800); Sayed, Aya Nabil (57226268709); Alsalemi, Abdullah (57197796766); Bensaali, Faycal (6506260453); Amira, Abbes (23003399100)","55636199800; 57226268709; 57197796766; 6506260453; 23003399100","Edge AI for Internet of Energy: Challenges and perspectives","2024","Internet of Things (Netherlands)","25","","101035","","","","22","10.1016/j.iot.2023.101035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185927709&doi=10.1016%2fj.iot.2023.101035&partnerID=40&md5=35c6d5651b9f1bb4e6f19778fea9a25d","The digital landscape of the Internet of Energy (IoE) is on the brink of a revolutionary transformation with the integration of edge Artificial Intelligence (AI). This comprehensive review elucidates the promise and potential that edge AI holds for reshaping the IoE ecosystem. Commencing with a meticulously curated research methodology, the article delves into the myriad of edge AI techniques specifically tailored for IoE. The myriad benefits, spanning from reduced latency and real-time analytics to the pivotal aspects of information security, scalability, and cost-efficiency, underscore the indispensability of edge AI in modern IoE frameworks. As the narrative progresses, readers are acquainted with pragmatic applications and techniques, highlighting on-device computation, secure private inference methods, and the avant-garde paradigms of AI training on the edge. A critical analysis follows, offering a deep dive into the present challenges including security concerns, computational hurdles, and standardization issues. However, as the horizon of technology ever expands, the review culminates in a forward-looking perspective, envisaging the future symbiosis of 5G networks, federated edge AI, deep reinforcement learning, and more, painting a vibrant panorama of what the future beholds. For anyone vested in the domains of IoE and AI, this review offers both a foundation and a visionary lens, bridging the present realities with future possibilities. © 2023","Blockchain; Edge AI; Energy efficiency in buildings; Federated learning; Internet of energy (IoE); Large language models (LLMs)","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85185927709"
"Alsafery W.; Rana O.; Perera C.","Alsafery, Wael (57203918787); Rana, Omer (7003659610); Perera, Charith (55293491900)","57203918787; 7003659610; 55293491900","Sensing within Smart Buildings: A Survey","2024","ACM Computing Surveys","55","13 s","297","","","","23","10.1145/3596600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168795114&doi=10.1145%2f3596600&partnerID=40&md5=d615c61bf19ef8a073cb83d3117a014f","Increasingly, buildings are being fitted with sensors for the needs of different sectors, such as education, industry and business. Using Internet of Things devices combined with analysis of data being generated by these devices, it is possible to infer a number of metrics, e.g., building occupancy and activities of occupants. The information thus gathered can be used to develop software applications to support energy management, occupant comfort, and space utilization. This survey explores the use of sensors in smart building environments, identifying different approaches to employ sensors in buildings. The most commonly used data-driven approaches for activity recognition in such buildings is also investigated, concluding by highlighting current research challenges and future research directions in this area. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.","activity recognition; occupancy; Sensors; smart buildings","Intelligent buildings; Pattern recognition; Activity recognition; Analysis of data; Building activities; Building occupancy; Education industry; Occupancy; Occupant comforts; Software applications; Space utilization; Support energy; Application programs","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85168795114"
"Chen X.; Cao J.; Sahni Y.; Jiang S.; Liang Z.","Chen, Xiangchun (58743182800); Cao, Jiannong (7403354073); Sahni, Yuvraj (57140493800); Jiang, Shan (57189240747); Liang, Zhixuan (57212478992)","58743182800; 7403354073; 57140493800; 57189240747; 57212478992","Dynamic Task Offloading in Edge Computing Based on Dependency-Aware Reinforcement Learning","2024","IEEE Transactions on Cloud Computing","12","2","","594","608","14","2","10.1109/TCC.2024.3381646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189152214&doi=10.1109%2fTCC.2024.3381646&partnerID=40&md5=42c2547cc86ab4e0ac5d76ca5988d9b1","Collaborative edge computing (CEC) is an emerging computing paradigm in which edge nodes collaborate to perform tasks from end devices. Task offloading decides when and at which edge node tasks are executed. Most existing studies assume task profiles and network conditions are known in advance, which can hardly adapt to dynamic real-world computation environments. Some learning-based methods use online task offloading without considering task dependency and network flow scheduling, leading to underutilized resources and flow congestion. We study Online Dependent Task Offloading (ODTO) in CEC, jointly optimizing network flow scheduling to optimize quality of service by reducing task completion time and energy consumption. The challenge of ODTO lies in how to offload dependent tasks and schedule network flows in dynamic networks. We model ODTO as the Markov Decision Process (MDP) and propose an Asynchronous Deep Progressive Reinforcement Learning (ADPRL) approach that optimize offloading and bandwidth decisions. We design a novel dependency-aware reward mechanism to address task dependency and dynamic network. Extensive experiments on the Alibaba cluster trace dataset and synthetic dataset indicate that our algorithm outperforms heuristic and learning-based methods in average task completion time and energy consumption.  © 2013 IEEE.","Collaborative edge computing; deep reinforcement learning; network flow scheduling; task offloading","Computation offloading; Deep learning; Green computing; Heuristic algorithms; Heuristic methods; Learning algorithms; Markov processes; Optimization; Quality of service; Reinforcement learning; Scheduling algorithms; Collaborative edge computing; Deep reinforcement learning; Edge computing; Energy-consumption; Flow scheduling; Heuristics algorithm; Network flow scheduling; Networks flows; Optimal scheduling; Processor scheduling; Reinforcement learnings; Schedule; Task analysis; Task offloading; Energy utilization","Article","Final","","Scopus","2-s2.0-85189152214"
"Majeed Parry G.; Revolidis I.; Ellul J.; Pace G.J.","Majeed Parry, Gowher (59422254900); Revolidis, Ioannis (57194702661); Ellul, Joshua (26031366400); Pace, Gordon J. (15045382800)","59422254900; 57194702661; 26031366400; 15045382800","Bottling Up Trust: A Review of Blockchain Adoption in Wine Supply Chain Traceability","2024","IEEE Access","12","","","178320","178344","24","0","10.1109/ACCESS.2024.3505428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210529343&doi=10.1109%2fACCESS.2024.3505428&partnerID=40&md5=d14fcb0a4724d0b047f30968890a7023","Though viticulture, wine production and distribution, involves processes mainly revolving around a single component/ingredient - grapes, it still faces the challenges of supply chain management. Supply chains require significant trust among stakeholders, and whilst for the most parts modern day supply chains 'work', it is when failures/mistakes occur that risks are high. Blockchain technology has emerged as a potential solution to confront supply chain-related traceability, transparency, and trust issues - of which extensive work has been done in applying it to wine sector. In this paper, we provide an overview of the technology and its capacity to bring about transformative changes to the viticulture supply chain. The current state of blockchain assimilation in the wine supply chain is presented, whilst highlighting the benefits and challenges associated with utilising blockchain within the wine industry-related supply chains. We pinpoint technological, legal, and adoption obstacles that must be overcome to ensure the successful integration of blockchain within the viticulture supply chain. Drawing on the state-of-the-art and industry practices, we propose directions to overcome hurdles - which may better support enhanced supply chain traceability, amplified transparency, and consumer trust, improved quality assurance and safeguarding against counterfeiting and fraud within the viticulture industry.  © 2013 IEEE.","Blockchain; counterfeiting; sustainability; traceability; transparency; trust; wine supply chain","Blockchain; Breweries; Supply chains; 'current; Benefit and challenges; Block-chain; Chain management; Counterfeiting; Single components; Traceability; Trust; Wine production; Wine supply chain; Wine","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210529343"
"Sharma A.; Thangaraj V.","Sharma, Ankur (57199494783); Thangaraj, Veni (56308037000)","57199494783; 56308037000","Intelligent service placement algorithm based on DDQN and prioritized experience replay in IoT-Fog computing environment","2024","Internet of Things (Netherlands)","25","","101112","","","","5","10.1016/j.iot.2024.101112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185165442&doi=10.1016%2fj.iot.2024.101112&partnerID=40&md5=9acbf5aa33c12abcdfe72970be83ae05","The widespread use of Internet of Things-based applications has led to the development of the fog computing paradigm, enabling seamless utilization of edge and cloud resources. The placement of IoT service requests at the appropriate fog nodes is one of the key problems in a fog-cloud environment, which affects the overall system performance and user experience. The challenges associated with service placement are the stochastic nature of service demand, heterogeneous and distributed characteristics of fog nodes. The objective of this work is to develop an effective service placement method to meet the varying resource requirements of services while optimizing two important performance parameters: service execution time and fog nodes’ energy consumption. Existing solutions are slow to adapt and neglecting the temporal patterns of service resource demand. This paper proposes a novel service placement algorithm based on double deep Q-Network and prioritized experience replay (DDQN-PER), which explores the optimal service placement strategy using the adaptive learning ability of deep reinforcement learning (DRL). The DRL agent learns the dynamic nature of the resource requirements of services to find an appropriate fog node for service placement. To evaluate the performance of the proposed algorithm, experiments are carried out using Measurement and Analysis on the WIDE Internet (MAWI) traffic traces. The proposed DDQN-PER algorithm, compared with other state-of-the-art methods and experimental results, show that the proposed method can minimize the service latency time and fog node's energy consumption from 2.5% to 8% and 6% to 17%, respectively. © 2024 Elsevier B.V.","Deep reinforcement learning; Energy consumption; Fog computing; Latency; Prioritized experience replay; Service placement","","Article","Final","","Scopus","2-s2.0-85185165442"
"Mounir M.; Chkouri M.Y.; El Khamlichi Y.; Touhafi A.","Mounir, Manal (59539666400); Chkouri, Mohamed Yassin (36711556500); El Khamlichi, Yasser (57200856544); Touhafi, Abdellah (8155645700)","59539666400; 36711556500; 57200856544; 8155645700","Emerging Technologies for Water Quality Monitoring and Assessment: A Systematic Review","2024","2024 IEEE 11th International Conference on E-Learning in Industrial Electronics, ICELIE 2024","","","","","","","0","10.1109/ICELIE62250.2024.10814733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216793562&doi=10.1109%2fICELIE62250.2024.10814733&partnerID=40&md5=4eae234acd0f511a289b1ca83d125f81","Water resources, essential for both human and ecological health, are increasingly threatened by pollution, overexploitation, and climate change. Monitoring and assessing water quality are now imperative to protect public health and the environment. A range of advanced technologies is reshaping these processes, including IoT for real-time data collection, remote sensing for large-scale monitoring, and AI for predictive analysis and decision-making. These technologies, combined with Big Data for managing vast datasets, cloud computing for storage and accessibility, edge computing for localized data processing, and digital twins for simulating aquatic systems, offer powerful solutions. However, challenges such as sensor reliability, data management, and system integration persist and must be addressed. To fully harness the potential of these innovations, education plays a crucial role. By integrating these technologies into educational programs, we can equip future generations with the skills needed to manage water resources sustainably. Despite the obstacles, the potential for more sustainable and efficient water management is substantial as these technologies continue to evolve, provided we invest in both technological development and education. © 2024 IEEE.","Artificial Intelligence; Assessment; Big Data; Cloud Computing; Deep Learning; Digital Twins; Edge computing; Education; In-situ; Internet of Things; IoT; Machine Learning; Monitoring; Remote Sensing; Sensors; Water Quality","Deep learning; Assessment; Cloud-computing; Deep learning; Edge computing; Emerging technologies; In-situ; IoT; Machine-learning; Remote-sensing; Waters resources; Data reliability","Conference paper","Final","","Scopus","2-s2.0-85216793562"
"Yuan H.; Hu Q.; Wang S.; Bi J.; Buyya R.; Lu J.; Yang J.; Zhang J.; Zhou M.","Yuan, Haitao (36652221400); Hu, Qinglong (57444854400); Wang, Shen (58929475700); Bi, Jing (55847050400); Buyya, Rajkumar (57194845546); Lu, Jinhu (58532857500); Yang, Jinhong (55840829700); Zhang, Jia (36065598500); Zhou, Mengchu (7403506743)","36652221400; 57444854400; 58929475700; 55847050400; 57194845546; 58532857500; 55840829700; 36065598500; 7403506743","Cost-optimized Task Offloading for Dependent Applications in Collaborative Edge and Cloud Computing","2024","IEEE Internet of Things Journal","","","","","","","0","10.1109/JIOT.2024.3522964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214703352&doi=10.1109%2fJIOT.2024.3522964&partnerID=40&md5=1afa33293560ef51ef7f53056ac7981e","A collaborative system that includes mobile devices (MDs), edge nodes (ENs), and the cloud is needed where ENs at the network edge can run offloaded tasks of MDs with limited resources and energy for timely processing for latency-sensitive applications. Unlike existing studies, we formulate a total cost minimization problem for the system for applications, which can be divided into several interdependent subtasks. Each subtask can be executed in MDs, ENs, and the cloud. This work formulates a mixed-integer nonlinear program to minimize the total system cost. To address it, a novel meta-heuristic optimization algorithm called Genetic Simulated-annealing-based Particle swarm optimization with Auto-Encoder (GSPAE) is proposed, which innovatively combines feature extraction of deep learning and global search of meta-heuristic optimization. Genetic operations provide diverse solutions, the Metropolis acceptance of annealing offers a robust global search, and autoencoders extract distribution characteristics of particles towards high-quality regions for fast convergence. Thus, GSPAE optimizes the associations between ENs and MDs and the scheduling of subtasks among MDs, ENs, and the cloud. Experiments with large-scale Google cluster datasets show that compared to state-of-the-art benchmark methods, GSPAE reduces the total cost by at least 17% while strictly meeting limits of application latency, available energy, computing, and communication resources of ENs and MDs. © 2014 IEEE.","autoencoders; Cloud computing; deep learning; edge computing; particle swarm optimization; task offloading","Cloud platforms; Computation offloading; Deep learning; Integer programming; Nonlinear programming; Particle swarm optimization (PSO); Simulated annealing; Auto encoders; Cloud-computing; Deep learning; Edge computing; Edge nodes; Particle swarm; Particle swarm optimization; Subtask; Swarm optimization; Task offloading; Mobile edge computing","Article","Article in press","","Scopus","2-s2.0-85214703352"
"Qazi F.; Khan S.A.; Hanif F.; Agha D.-E.-S.","Qazi, Farheen (57203920619); Khan, Sadiq Ali (57188853359); Hanif, Fozia (56057077600); Agha, Dur-E-Shawar (57203917695)","57203920619; 57188853359; 56057077600; 57203917695","Efficient Routing Algorithm Towards the Security of Vehicular Ad-Hoc Network and Its Applications","2024","International Journal of Wireless Information Networks","31","1","","12","28","16","2","10.1007/s10776-023-00613-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182857048&doi=10.1007%2fs10776-023-00613-x&partnerID=40&md5=2c49298d9c543a781b26b7c934b3a13b","A mobile ad hoc network (MANET) is a cluster of wireless mobile devices that can create a temporary network without seeking the support of any central management or infrastructure. Due to such issues, wireless communications require energy consumption, frequent data transmission, and nodes' mobility. Secondly, loss of data packets occurs because of various reasons such as traffic congestion, node mobility, or unexpected losses. An efficient vehicular ad hoc network (VANET) routing protocol is proposed in this study using a genetic algorithm (GA) and evolution-based techniques while considering all the parameters. A new fitness function (F.F) to obtain the optimum route is proposed in this study by using the routes provided by the Ad hoc on-demand multipath distance vector AOMDV routing protocol. This study uses a new type of routing mechanism based on cryptography to demonstrate how to secure V2V and V2I communications from various network threats in a VANET environment. For VANET communications, the transmission message must meet the requirements for integrity, confidentiality, and non-repudiation to ensure that a trustworthy third party can identify users with a pattern of misbehavior. While ensuring optimized route selection and secured communications, a hybrid approach AOMDV-RGA and ABC is proposed. AOMDV-RGA (AOMDV Routing using Genetic Algorithm) is used for selecting optimal routes among the routes, and ABSC (Authentication Based Secured Communication) is proposed for performing secured communication between V2V and V2I. The experimental results demonstrate the proposed technique's effectiveness compared with other previously developed techniques to address the routing and security problems of VANETs. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","ABSC (authentication based secured communication); Ad hoc on-demand multipath distance vector (AOMDV) routing protocol; Confidentiality and non-repudiation; Cryptography; Fitness function (F.F); Genetic algorithm (GA); Integrity; Mobile ad hoc network (MANET)","Authentication; Cryptography; Energy utilization; Internet protocols; Mobile security; Mobile telecommunication systems; Network security; Routing protocols; Traffic congestion; Vehicular ad hoc networks; Ad hoc on-demand multipath distance vector  routing protocol; Ad hoc on-demand multipath distance vectors; Authentication based secured communication; Confidentiality and non-repudiation; Distance vector routing protocols; Fitness function; Fitness functions; Genetic algorithm; Integrity; Mobile ad hoc network; Mobile ad-hoc networks; Non repudiation; Secured communication; Genetic algorithms","Article","Final","","Scopus","2-s2.0-85182857048"
"Meglio S.D.; Libero Lucio Starace L.","Meglio, Sergio Di (58313109800); Libero Lucio Starace, Luigi (57211982059)","58313109800; 57211982059","Evaluating Performance and Resource Consumption of REST Frameworks and Execution Environments: Insights and Guidelines for Developers and Companies","2024","IEEE Access","12","","","161649","161669","20","0","10.1109/ACCESS.2024.3489892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208379810&doi=10.1109%2fACCESS.2024.3489892&partnerID=40&md5=7fd4bd5eef4bdc4660cc797580a1f077","The REST (REpresentational State Transfer) paradigm has become essential for designing distributed applications that leverage the HTTP protocol, enabling efficient data exchange and the development of scalable architectures such as microservices. However, selecting an appropriate framework among the myriad available options, especially given the diversity of emerging execution environments, presents a significant challenge. Often, this decision neglects crucial factors such as performance and energy efficiency, favoring instead developer familiarity and popularity within the industry. To address this, we conducted a comprehensive benchmark study using a prototype REST API application provided by an industry partner, which was implemented multiple times using different REST API frameworks. We evaluated five different REST API frameworks across three popular programming languages, incorporating both traditional and emerging execution environments, resulting in twelve distinct configurations. Our results reveal significant differences in performance and computational resource consumption across different frameworks and execution environments, highlighting the necessity of making informed technology choices based on thorough analysis rather than convenience or familiarity. In addition to our findings, we offer other contributions to the field: an automated pipeline that benchmarks different configurations with various frameworks and execution environments, and a reference benchmark REST API that can be used in other studies. This research provides valuable insights and tools for developers and organizations aiming to select high-performance, resource-efficient technologies that promote environmental sustainability and reduce operational costs. ©2024 The Authors.","Execution environments; green computing; performance benchmark; performance testing; REST API; REST API frameworks; sustainable computing; web applications","Execution environments; Performance; Performance benchmark; Performance testing; Representational state transfer; Representational state transfer API; Representational state transfer API framework; Sustainable computing; WEB application; Web applications","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208379810"
"Adeppady M.; Conte A.; Giaccone P.; Karl H.; Chiasserini C.F.","Adeppady, Madhura (57435100000); Conte, Alberto (8688261400); Giaccone, Paolo (55222154600); Karl, Holger (7101711052); Chiasserini, Carla Fabiana (7004886008)","57435100000; 8688261400; 55222154600; 7101711052; 7004886008","Dynamic Management of Constrained Computing Resources for Serverless Services","2024","IEEE Transactions on Network and Service Management","","","","","","","1","10.1109/TNSM.2024.3497155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209387259&doi=10.1109%2fTNSM.2024.3497155&partnerID=40&md5=194332a05c569de08bf598f33679b575","In resource-constrained cloud systems, e.g., at the network edge or in private clouds, serverless computing is increasingly adopted to deploy microservices-based applications, leveraging its promised high resource efficiency. Provisioning resources to serverless services, however, poses several challenges, due to the high cold-start latency of containers and stringent Service Level Agreement (SLA) requirements of the microservices. In response, we investigate the behavior of containers in different states (i.e., running, warm, or cold) and exploit our experimental observations to formulate an optimization problem that minimizes the energy consumption of the active servers while reducing SLA violations. In light of the problem complexity, we propose a low-complexity algorithm, named AiW, which utilizes a multi-queueing approach to balance energy consumption and system performance by reusing containers effectively and invoking cold-starts only when necessary. To further minimize the energy consumption of data centers, we introduce the two-timescale COmputing resource Management at the Edge (COME) framework, comprising an orchestrator running our proposed AiW algorithm for container provisioning and Dynamic Server Provisioner (DSP) for dynamically activating/deactivating servers in response to AiW's decisions on request scheduling. COME addresses the mismatch in timescales for resource provisioning decisions at the container and server levels. Extensive performance evaluation through simulation shows AiW's close match to the optimum and COME's significant reduction in power consumption by 22-64% compared state-of-the-art alternatives. © 2004-2012 IEEE.","Cloud Computing Services; Edge Computing; Energy-aware Management; Orchestration","Edge computing; Energy utilization; Information management; Cloud computing services; Cold-start; Dynamic management; Edge computing; Energy aware; Energy-aware management; Energy-consumption; Orchestration; Servicelevel agreement (SLA); Time-scales; Cloud platforms","Article","Article in press","","Scopus","2-s2.0-85209387259"
