DOI,round_5,round_4,round_3,round_2,round_1,record_id,Author,Title,Publication Title,ISBN,ISSN,Url,Date,Series,Series Number,Series Text,Series Title,Publisher,Place,Abstract,ISBNs,Funding Information,PDF Link,Author Keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Issue Date,Meeting Date,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Publication Stage,Open Access,Source,EID,Keywords,asreview_prior,exported_notes_1,asreview_ranking
10.1007/978-3-030-49760-6_7,0,0,0,0,0,86,"Matz, Alexandra; Götz, Clarissa","Designing Human-Centered Interactions for Smart Environments Based on Heterogeneous, Interrelated Systems: A User Research Method for the “Age of Services” (URSERVe)","Design, User Experience, and Usability. Design for Contemporary Interactive Environments: 9th International Conference, DUXU 2020, Held as Part of the 22nd HCI International Conference, HCII 2020, Copenhagen, Denmark, July 19–24, 2020, Proceedings, Part II",978-3-030-49759-0,,https://doi.org/10.1007/978-3-030-49760-6_7,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Heterogeneous, interrelated systems leveraging the Internet of Things (IoT) in smart environments such as a smart factory or smart city, pose many challenges for software design and development. Capturing and addressing the human needs is one of them and designing the interactions within smart applications is another. There are several reasons for this, for example diverse personas for both human as well as digital actors, a large variety of usage scenarios, a vast number of data exchange protocols, as well as data privacy and ethical concerns.On top of this, the service-based architecture of smart environments has widened the gap between software development teams and their end users. Services are highly modular, decoupled units of application logic, developed for specific task units and as such they are one or even several hierarchy layers removed from the business logic of main applications, and, in consequence, from the applications’ users. Therefore, in our experience, service development groups often refrain from identifying their users and doing any kind of user research at all. The reasoning being that, because their services will only be used by applications or other services, and not directly by human or non-human users, these users cannot be identified at all or are of no importance. This paper proposes a bidirectional, complementary method to approach user research for smart environments, such as smart cities. It describes how service development teams can reach beyond the applications which consume their service to the users of these consuming apps and how, at the same time, the smart city projects can reap the benefits of the technological expertise that resides in the service development groups. Ultimately, the method helps to create a shared knowledge base which arguably fosters innovation within an organization responsible for the design, development and operation of smart environments.",,,,,,,,,,,,,,,,,,,,,,,,,,Microservices; Smart cities; Services; Human-centered design; Knowledge management; Smart environments; Smart factory; User centered design; User experience; User research,0.0,EC3,3037
10.1007/978-3-030-58628-7_6,0,0,0,0,0,223,"Cardellini, Valeria; Lo Presti, Francesco; Nardelli, Matteo; Rossi, Fabiana",Self-adaptive Container Deployment in the Fog: A Survey,"Algorithmic Aspects of Cloud Computing: 5th International Symposium, ALGOCLOUD 2019, Munich, Germany, September 10, 2019, Revised Selected Papers",978-3-030-58627-0,,https://doi.org/10.1007/978-3-030-58628-7_6,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","The fast increasing presence of Internet-of-Things and fog computing resources exposes new challenges due to heterogeneity and non-negligible network delays among resources as well as the dynamism of operating conditions. Such a variable computing environment leads the applications to adopt an elastic and decentralized execution. To simplify the application deployment and run-time management, containers are widely used nowadays. The deployment of a container-based application over a geo-distributed computing infrastructure is a key task that has a significant impact on the application non-functional requirements (e.g., performance, security, cost). In this survey, we first develop a taxonomy based on the goals, the scope, the actions, and the methodologies considered to adapt at run-time the application deployment. Then, we use it to classify some of the existing research results. Finally, we identify some open challenges that arise for the application deployment in the fog. In literature, we can find many different approaches for adapting the containers deployment, each tailored for optimizing a specific objective, such as the application response time, its deployment cost, or the efficient utilization of the available computing resources. However, although several solutions for deploying containers exist, those explicitly considering the distinctive features of fog computing are at the early stages: indeed, existing solutions scale containers without considering their placement, or do not consider the heterogeneity, the geographic distribution, and mobility of fog resources.",,,,,,,,,,,,,,,,,,,,,,,,,,Fog computing; Containers; Elasticity; Placement; Self-adaptive systems,0.0,EC3,1863
10.1007/978-3-030-58811-3_73,0,0,0,0,0,71,"Siavvas, Miltiadis; Tsoukalas, Dimitrios; Marantos, Charalampos; Tsintzira, Angeliki-Agathi; Jankovic, Marija; Soudris, Dimitrios; Chatzigeorgiou, Alexander; Kehagias, Dionysios",The SDK4ED Platform for Embedded Software Quality Improvement - Preliminary Overview,"Computational Science and Its Applications – ICCSA 2020: 20th International Conference, Cagliari, Italy, July 1–4, 2020, Proceedings, Part IV",978-3-030-58810-6,,https://doi.org/10.1007/978-3-030-58811-3_73,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Maintaining high level of quality with respect to important quality attributes is critical for the success of modern software applications. Hence, appropriate tooling is required to help developers and project managers monitor and optimize software quality throughout the overall Software Development Lifecycle (SDLC). Moreover, embedded software engineers and developers need support to manage complex interdependencies and inherent trade-offs between design and run-time qualities. To this end, in an attempt to address these issues, we are developing the SDK4ED Platform as part of the ongoing EU-funded SDK4ED project, a software quality system that enables the monitoring and optimization of software quality, with emphasis on embedded software. The purpose of this technical paper is to provide an overview of the SDK4ED Platform and present the main novel functionalities that have been implemented within the platform until today.",,,,,,,,,,,,,,,,,,,,,,,,,,Software quality; Verification and validation,0.0,EC3,3087
10.1007/978-3-030-58923-3_4,0,0,0,0,0,56,"Caporuscio, Mauro; D’Angelo, Mirko; Grassi, Vincenzo; Mirandola, Raffaela",Decentralized Architecture for Energy-Aware Service Assembly,"Software Architecture: 14th European Conference, ECSA 2020, L'Aquila, Italy, September 14–18, 2020, Proceedings",978-3-030-58922-6,,https://doi.org/10.1007/978-3-030-58923-3_4,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Contemporary application domains make more and more appealing the vision of applications built as a dynamic and opportunistic assembly of autonomous and independent resources. However, the adoption of such paradigm is challenged by: (i) the openness and scalability needs of the operating environment, which rule out approaches based on centralized architectures and, (ii) the increasing concern for sustainability issues, which makes particularly relevant, in addition to QoS constraints, the goal of reducing the application energy footprint. In this context, we contribute by proposing a decentralized architecture to build a fully functional assembly of distributed services, able to optimize its energy consumption, paying also attention to issues concerning the delivered quality of service. We suggest suitable indexes to measure from different perspectives the energy efficiency of the resulting assembly, and present the results of extensive simulation experiments to assess the effectiveness of our approach.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,EC3,1933
10.1007/978-3-030-59824-2_2,1,1,1,0,1,100,"Kaneko, Yu; Yokoyama, Yuhei; Monma, Nobuyuki; Terashima, Yoshiki; Teramoto, Keiichi; Kishimoto, Takuya; Saito, Takeshi",A Microservice-Based Industrial Control System Architecture Using Cloud and&nbsp;MEC,"Edge Computing – EDGE 2020: 4th International Conference, Held as Part of the Services Conference Federation, SCF 2020, Honolulu, HI, USA, September 18-20, 2020, Proceedings",978-3-030-59823-5,,https://doi.org/10.1007/978-3-030-59824-2_2,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Cloud computing has been adapted for various application areas. Several research projects are underway to migrate Industrial Control Systems (ICSs) to the public cloud. Some functions of ICSs require real-time processing that is difficult to migrate to the public cloud because network latency of the internet is unpredictable. Fog computing is a new computing paradigm that could address this latency issue. In particular, Multi-access Edge Computing (MEC) is a fog computing environment integrated with the 5G network, and therefore the real-time processing requirement of ICSs could be satisfied by using MEC. In this paper, we propose a microservice-based ICS architecture using the cloud and fog computing. In the architecture, each function of an ICS is implemented as a microservice and its execution locations are determined by an algorithm minimizing the total usage fee for cloud and fog computing while satisfying the real-time processing requirement. The proposed architecture and placement algorithm are evaluated by simulation under the scenario of a virtual power plant that manages distributed energy resources. The simulation result shows the proposed placement algorithm suppresses VM usage fee while satisfying the requirement of a real-time control function.",,,,,,,,,,,,,,,,,,,,,,,,,,5G; Cloud; Fog; Industrial Control System; MEC,0.0,IC4,49
10.1007/978-3-030-62522-1_28,0,0,0,0,0,172,"Dalibor, Manuela; Michael, Judith; Rumpe, Bernhard; Varga, Simon; Wortmann, Andreas",Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits,"Conceptual Modeling: 39th International Conference, ER 2020, Vienna, Austria, November 3–6, 2020, Proceedings",978-3-030-62521-4,,https://doi.org/10.1007/978-3-030-62522-1_28,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Digital twins promise tremendous potential to reduce time and cost in the smart manufacturing of Industry 4.0. Engineering and monitoring interactive digital twins currently demands integrating different piecemeal technologies that effectively hinders their application and deployment. Current research on digital twins focuses on specific implementations or abstract models on how digital twins could be conceived. We propose model-driven software engineering to realize interactive digital twins and user-specific cockpits to interact with the digital twin by generating the infrastructure from common data structure models. To this end, we present a model-driven architecture for digital twins, its integration with an interactive cockpit, and a systematic method of realizing both. Through this, modeling, deploying, and monitoring interactive digital twins becomes more feasible and fosters their successful application in smart manufacturing.",,,,,,,,,,,,,,,,,,,,,,,,,,Digital Twins; Information systems; Model-driven software engineering; Smart manufacturing,,,1242
10.1007/978-3-030-86960-1_37,0,0,0,0,0,262,"Costantini, Alessandro; Duma, Doina Cristina; Martelli, Barbara; Antonacci, Marica; Galletti, Matteo; Tisbeni, Simone Rossi; Bellavista, Paolo; Di Modica, Giuseppe; Nehls, Daniel; Ahouangonou, Jean-Christian; Delamarre, Cedric; Cesini, Daniele",A Cloud-Edge Orchestration Platform for the Innovative Industrial Scenarios of the IoTwins Project,"Computational Science and Its Applications – ICCSA 2021: 21st International Conference, Cagliari, Italy, September 13–16, 2021, Proceedings, Part II",978-3-030-86959-5,,https://doi.org/10.1007/978-3-030-86960-1_37,2021,,,,,Springer-Verlag,"Berlin, Heidelberg","The concept of digital twins has growing more and more interest not only in the academic field but also among industrial environments thanks to the fact that the Internet of Things has enabled its cost-effective implementation. Digital twins (or digital models) refer to a virtual representation of a physical product or process that integrate data from various sources such as data APIs, historical data, embedded sensors and open data, giving to the manufacturers an unprecedented view into how their products are performing. The EU-funded IoTwins project plans to build testbeds for digital twins in order to run real-time computation as close to the data origin as possible (e.g., IoT Gateway or Edge nodes), and whilst batch-wise tasks such as Big Data analytics and Machine Learning model training are advised to run on the Cloud, where computing resources are abundant. In this paper, the basic concepts of the IoTwins project, its reference architecture, functionalities and components have been presented and discussed.",,,,,,,,,,,,,,,,,,,,,,,,,,IoT; Edge; Cloud; Digital twins; Digital models,,,735
10.1007/978-3-030-87007-2_20,0,0,0,0,0,186,"Kumari, Anisha; Sahoo, Bibhudatta; Behera, Ranjan Kumar; Misra, Sanjay; Sharma, Mayank Mohan",Evaluation of Integrated Frameworks for Optimizing QoS in Serverless Computing,"Computational Science and Its Applications – ICCSA 2021: 21st International Conference, Cagliari, Italy, September 13–16, 2021, Proceedings, Part VII",978-3-030-87006-5,,https://doi.org/10.1007/978-3-030-87007-2_20,2021,,,,,Springer-Verlag,"Berlin, Heidelberg","Serverless computing is an emerging cloud deployment model where developers can concentrate on developing application logic without worrying about the underlying architecture. It is similar to the platform as a service (PaaS) but at the functional level. Applications are usually deployed in the form of a set of functions independently and each function may be executed at separate servers thus also named as function as a service (FaaS). Serverless at the edge can handle thousands of concurrent functions invocations to process various kinds of events generated from resources like database, system logs, and other storage units, etc. A number of serverless frameworks like Openfaas, Openwhisk, Microsoft Azure, Amazon AWS allow dynamic scaling to handle the parallel request of stateless functions from the client-side. A separate container manager may be provisioned to handle distributed load for data processing. In this paper, we have evaluated the performance of serverless frameworks for parallel loads in terms of response time and throughput. In this paper, we have shown that the serverless framework is suitable for handling dynamic applications that can be executed on a number of stateless functions. An extensive comparison of the performance of serverless frameworks in handling concurrent invocations in terms of response time and throughput is also presented. It has been observed that Openwhisk is found to be the better serverless framework in terms of elasticity and scalability.",,,,,,,,,,,,,,,,,,,,,,,,,,Serverless computing; Orchestration; Function-as-a-service; Openfaas; OpenWhisk,0.0,EC3,1904
10.1007/978-3-030-91431-8_34,0,0,0,0,0,271,"Duan, Kaiyue; Li, Yusen; Marbach, Trent G.; Wang, Gang; Liu, Xiaoguang",Improving Load Balancing for Modern Data Centers Through Resource Equivalence Classes,"Service-Oriented Computing: 19th International Conference, ICSOC 2021, Virtual Event, November 22–25, 2021, Proceedings",978-3-030-91430-1,,https://doi.org/10.1007/978-3-030-91431-8_34,2021,,,,,Springer-Verlag,"Berlin, Heidelberg","Load balancing is one of the most significant concerns for data center (DC) management, and the basic method is reassigning applications from overloaded servers to underloaded servers. However, to ensure the service availability, during the reassignment of an application, some resources (i.e., transient resources) are consumed simultaneously on its initial server and its target server, which imposes a challenge for load balancing. The latest research has proposed a concept called resource equivalence class (REC: a set of resource configurations such that a latency-critical (LC) application running with any one of them can meet the QoS target). In this paper, we use the REC to improve the load balancing for a DC where multiple LC applications have already been co-located on servers with the service availability and QoS requirements. We formulate the proposed load rebalancing problem as a multi-objective constrained programming model. To solve the proposed problem, we propose to use a machine learning-based classification model to construct the RECs for applications, and we develop a local search (LS) algorithm to approximate the optimal solution. We evaluate the proposed algorithm via simulated experiments using real LC applications. To our knowledge, it is the first time to use REC for improving load balancing.",,,,,,,,,,,,,,,,,,,,,,,,,,Load rebalancing; Local search; Resource equivalence class,0.0,EC3,2329
10.1007/978-3-030-93747-8_10,0,0,0,0,0,97,"Dimitrakos, Theo; Dilshener, Tezcan; Kravtsov, Alexander; Marra, Antonio La; Martinelli, Fabio; Rizos, Athanasios; Rosetti, Alessandro",Handling Meta Attribute Information in Usage Control Policies (Short Paper),"Emerging Technologies for Authorization and Authentication: 4th International Workshop, ETAA 2021, Darmstadt, Germany, October 8, 2021, Revised Selected Papers",978-3-030-93746-1,,https://doi.org/10.1007/978-3-030-93747-8_10,2021,,,,,Springer-Verlag,"Berlin, Heidelberg","This work builds on top of an architecture and prototype implementation of a novel trust-aware continuous authorization technology that targets consumer Internet of Things (IoT), e.g., Smart Home to introduce a novel trust algorithm and meta attribute evaluation. Our approach extends previous work in two complementary ways: (1) By introducing a novel set of meta attributes that characterize the values of condition attributes such as Time To Live. This set of meta attributes serves as additional information that can be used by the system in order to proper caching attribute values or deciding whether or not to use an attribute already retrieved or to ask for a fresh one. (2) By minimizing the network consumption related to requesting additional and fresh attributes to sensor in IoT environments. Network is the source of major energy consumption in IoT devices, therefore being able to minimize network consumption is beneficial for the whole system.",,,,,,,,,,,,,,,,,,,,,,,,,,IoT; ABAC; Authorization; Trust; Usage control,0.0,EC3,2435
