Decision,Sum,round_1_result (eoan),round_1_notes,round_2_result (ai),round_2_notes,round_3_result (ai),round_3_notes,round_2_full_output,round_3_full_output,record_id,DOI,Author,Title,Publication Title,ISBN,ISSN,Url,Date,Series,Series Number,Series Text,Series Title,Publisher,Place,Abstract,ISBNs,Funding Information,PDF Link,Author Keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Issue Date,Meeting Date,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Publication Stage,Open Access,Source,EID,Keywords,exported_notes_1,asreview_ranking,asreview_prior
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,182,10.1145/3663741.3664789,"Ordonez, Carlos; Macyna, Wojciech; Bellatreche, Ladjel",Energy-Aware Analytics in the Cloud,Proceedings of the International Workshop on Big Data in Emergent Distributed Environments,979-8-4007-0679-0,,https://doi.org/10.1145/3663741.3664789,2024,BiDEDE '24,,,,Association for Computing Machinery,"New York, NY, USA","Big data is now mostly processed in the cloud and will keep growing, fed by databases and the Internet of Things (IoT: sensors, mobile devices, edge computing). On the other hand, AI is pushing computers and data analysis to limits we had not witnessed before. Analytics in the cloud is now a major fraction of energy consumption, among other less CPU-intensive tasks like web services. With this green computing motivation in mind, we present a survey of past research and a vision of big data analytics in the cloud. Energy consumption is difficult to minimize because it has conflicting correlated variables behind: high performance, money cost and pollution, We identify which software subsystems and hardware components have a higher impact on energy consumption, understanding how they can be tweaked or tuned to optimize energy consumption.",,,,,,,,,,,,,,,,,,,,,,,,,,,EC3 but maybe interesting,28,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,41,10.1109/ACCESS.2022.3170918,A. Ali; M. M. Iqbal,A Cost and Energy Efficient Task Scheduling Technique to Offload Microservices Based Applications in Mobile Cloud Computing,IEEE Access,,2169-3536,,28-Apr-22,,,,,IEEE,,"The number of smartphone users and mobile devices has increased significantly. The Mobile Cloud Applications based on cloud computing have also been increased. The mobile apps can be used in Augmented Reality, E-Transportation, 2D/3-D Games, E-Healthcare, and Education. The modern cloud-based frameworks provide such services on Virtual Machines. The existing frameworks worked well, but these suffered the problems such as overhead, resource utilization, lengthy boot-time, and cost of running Mobile Applications. This study addresses these problems by proposing a Dynamic Decision-Based Task Scheduling Technique for Microservice-based Mobile Cloud Computing Applications (MSCMCC). The MSCMCC runs delay-sensitive applications and mobility with less cost than existing approaches. The study focused on Task Scheduling problems on heterogeneous Mobile Cloud servers. We further propose Task Scheduling and Microservices based Computational Offloading (TSMCO) framework to solve the Task Scheduling in steps, such as Resource Matching, Task Sequencing, and Task Scheduling. Furthermore, the experimental results elaborate that the proposed MSCMCC and TSMCO enhance the Mobile Server Utilization. The proposed system effectively minimizes the cost of healthcare applications by 25%, augmented reality by 23%, E-Transport tasks by 21%, and 3-D games tasks by 19%, the average boot-time of microservices applications by 17%, resource utilization by 36%, and tasks arrival time by 16%.",,"University of Engineering and Technology, Taxila, Pakistan; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9764765,Cloud computing;mobile cloud computing;task offloading;task sequencing;task scheduling;microservices,,28,,52,CCBY,,,,,,,,,,,,,,,,,Task analysis;Cloud computing;Costs;Processor scheduling;Microservice architectures;Mobile handsets;Servers,IC3,29,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,174,10.1145/3565010.3569065,"Tootaghaj, Diman Zad; Mercian, Anu; Adarsh, Vivek; Sharifian, Mehrnaz; Sharma, Puneet",SmartNICs at edge for transient compute elasticity,Proceedings of the 3rd International Workshop on Distributed Machine Learning,978-1-4503-9922-7,,https://doi.org/10.1145/3565010.3569065,2022,DistributedML '22,,,,Association for Computing Machinery,"New York, NY, USA","This paper proposes a new architecture that strategically harvests the untapped compute capacity of the SmartNICs to offload transient microservices workload spikes, thereby reducing the SLA violations while providing better performance/energy consumption. This is particularly important for ML workloads at Edge deployments with stringent SLA requirements. Usage of the untapped compute capacity is more favorable than deploying extra servers, as SmartNICs are economically and operationally more desirable. We propose Spike-Offload, a low-cost and scalable platform that leverages machine learning to predict the spikes and orchestrates seamless offloading of generic microservices workloads to the SmartNICs, eliminating the need for pre-deploying expensive host servers and their under-utilization. Our SpikeOffload evaluation shows that SLA violations can be reduced by up to 20% for specific workloads. Furthermore, we demonstrate that for specific workloads our approach can potentially reduce capital expenditure (CAPEX) by more than 40%. Also, performance per unit energy consumption can be improved by upto 2X.",,,,,,,,,,,,,,,,,,,,,,,,,,edge; serverless computing; application offload; SmartNIC,IC4,30,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,94,10.1109/ICSA59870.2024.00012,Cortellessa V.; Di Pompeo D.; Tucci M.,Exploring Sustainable Alternatives for the Deployment of Microservices Architectures in the Cloud,,,,,,,,,,,,"As organizations increasingly migrate their applications to the cloud, the optimization of microservices architectures becomes imperative for achieving sustainability goals. Nonetheless, sustainable deployments may increase costs and deteriorate performance, thus the identification of optimal trade-offs among these conflicting requirements is a key objective not easy to achieve. This paper introduces a novel approach to support cloud deployment of microservices architectures by targeting optimal combinations of application performance, deployment costs, and power consumption. By leveraging genetic algorithms, specifically NSGA-II, we automate the generation of alternative architectural deployments. The results demonstrate the potential of our approach through a comprehensive assessment of the Train Ticket case study.  © 2024 IEEE.",,,,model-driven engineering; performance; refactoring; search-based software engineering; sustainability,,,,,,,,"Cortellessa, Vittorio (6603764364); Di Pompeo, Daniele (57188727238); Tucci, Michele (55317706000)",6603764364; 57188727238; 55317706000,2024,"Proceedings - IEEE 21st International Conference on Software Architecture, ICSA 2024",,34,45,11,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201051178&doi=10.1109%2fICSA59870.2024.00012&partnerID=40&md5=ebb3d2628f5d1191a5b97bd9115b93a3,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85201051178,Computer architecture; Economic and social effects; Genetic algorithms; Sustainable development; Cloud deployments; Key objective; Model-driven Engineering; Optimal combination; Optimisations; Performance; Refactorings; Search-based; Search-based software engineering; Trade off; Software engineering,IC4,31,0
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,122,10.1109/JIOT.2024.3488283,Golec M.; Wu H.; Ozturac R.; Parlikad A.K.; Cuadrado F.; Gill S.S.; Uhlig S.,CAPTAIN: A Testbed for Co-Simulation of Scalable Serverless Computing Environments for AIoT Enabled Predictive Maintenance in Industry 4.0,,,,,,,,,,,,"The massive amounts of data generated by the Industrial Internet of Things (IIoT) require considerable processing power, which increases carbon emissions and energy usage, and we need sustainable solutions to enable flexible manufacturing. Serverless computing shows potential for meeting this requirement by scaling idle containers to zero energy-efficiency and cost, but this will lead to a cold start delay. Most solutions rely on idle containers, which necessitates dynamic request time forecasting and container execution monitoring. Furthermore, Artificial Intelligence of Things (AIoT) can provide autonomous and sustainable solutions by combining IIoT with Artificial Intelligence (AI) to solve this problem. Therefore, we develop a new testbed, CAPTAIN, to facilitate AI-based co-simulation of scalable and flexible serverless computing in IIoT environments. The AI module in the CAPTAIN framework employs Random Forest (RF) and Light Gradient-Boosting Machine (LightGBM) models to optimize cold start frequency and prevent cold starts based on their prediction results. The proxy module additionally monitors the client-server network and constantly updates the AI module training dataset via a message queue. Finally, we evaluated the proxy module's performance using a predictive maintenance-based real-world IIoT application and the AI module's performance in a realistic serverless environment using a Microsoft Azure dataset. The AI module of the CAPTAIN outperforms baselines in terms of cold start frequency, computational time with 0.5 milliseconds, energy consumption with 1161.0 joules, and CO2 emissions with 32.25e-05 gCO2. The CAPTAIN testbed provides a co-simulation of sustainable and scalable serverless computing environments for AIoT-enabled predictive maintenance in Industry 4.0. © 2014 IEEE.",,,,Artificial Intelligence; Cloud Computing; Flexible Manufacturing; Industrial Internet of Things; Predictive Maintenance; Serverless Computing,,,,,,,,"Golec, Muhammed (57219976731); Wu, Huaming (55605704300); Ozturac, Ridvan (57226449916); Parlikad, Ajith Kumar (9736080300); Cuadrado, Felix (23008194000); Gill, Sukhpal Singh (57216940144); Uhlig, Steve (55148419500)",57219976731; 55605704300; 57226449916; 9736080300; 23008194000; 57216940144; 55148419500,2024,IEEE Internet of Things Journal,,,,,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208228417&doi=10.1109%2fJIOT.2024.3488283&partnerID=40&md5=79d9c5a8dcade2dfbbff6960c6a42c9a,Article in press,,Scopus,2-s2.0-85208228417,Competition; Flexible manufacturing systems; Glass plants; Plastic bottles; Windows operating system; Cloud-computing; Cold-start; Computing environments; Cosimulation; Flexible manufacturing; Industrial internet of thing; Module performance; Predictive maintenance; Serverless computing; Sustainable solution; Testbeds,EC3,33,0
Included,3,1,IC6,1,IC6,1,IC6,INCLUDE - IC6,INCLUDE - IC6,166,10.1145/3412841.3441888,"Valera, Hernan Humberto Alvarez; Dalmau, Marc; Roose, Philippe; Larracoechea, Jorge; Herzog, Christina",An energy saving approach: understanding microservices as multidimensional entities in p2p networks,Proceedings of the 36th Annual ACM Symposium on Applied Computing,978-1-4503-8104-8,,https://doi.org/10.1145/3412841.3441888,2021,SAC '21,,,,Association for Computing Machinery,"New York, NY, USA","With the use of microservices, many software solutions have been improved in terms of scalability, response efficiency, ease of load balancing among others. However, it is still a challenge to dynamically deploy them according to devices' heterogeneity and energy consumption concerns, while maintaining a defined QoS. Centralized and decentralized approaches that manage microservices deployment have the traditional pros and cons long discussed over time. While the former offer greater control over distributed application components, the latter offers frugal network negotiations, no system-wide crashes, privacy, among others.This work focuses on identifying ""ideal"" host candidates for microservices' execution in a decentralized network, applying run-time scheduling operations (migration or duplication) to reduce energy consumption. To do this, we created a scheduling algorithm using MAAN (a P2P approach) to interpret a decentralized network as a multidimensional resource (capacity-demand) space, which supports range queries in a logarithmic quantity of hops. In this way, a node that runs a set of microservices is able to 1) map them in terms of their execution requirements (i.e. CPU frequency, RAM capacity, Network rate and disk speed) 2) Select an ideal microservice to be moved or duplicated, 3) find ideal node(s) that meet all those requirements in an optimal computational complexity and 4) negotiate the movement or duplication of the selected microservice, by analyzing energy consumption and QoS criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,cloud computing; microservices; power consumption; energy consumption; distributed algorithms; P2P,IC4,34,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,159,10.1117/12.3024334,Zhang Z.; Xu Z.; Li R.,Research and Application of Distributed Task Scheduling for Smart Energy Services,,,,,,,,,,,,"Smart energy services are an important support platform for the development of a comprehensive energy business. Based on CPS, they connect with energy consumption scenarios such as communities, commercial buildings, industrial enterprises, and parks, achieve massive data acquisition of energy equipment, energy conservation, and consumption reduction, and smart regulation of flexible loads. They are also built on cloud platforms and microservice architectures. Distributed task scheduling technology is widely used in massive data acquisition, data archiving, data supplementary acquisition, data quality, data calculation, energy consumption analysis, energy efficiency analysis, energy efficiency diagnosis, monitoring alarm, instruction encryption, and issuance, energy efficiency report generation and push and many other scenarios for processing. There are various shortcomings in the existing distributed task scheduling under the microservice architecture mode. In order to fully leverage the important role of distributed task scheduling in smart energy services based on microservice architecture, this article analyzes the characteristics of microservice architecture and the shortcomings of existing distributed task scheduling and applies the design concepts of distributed application coordination services, balanced sharding, and microservice architecture to study a distributed task scheduling oriented towards microservice architecture, effectively supporting the widespread application of smart energy in distributed task scheduling. © 2024 SPIE.",,,,Comprehensive energy; Distributed application coordination services; Distributed task scheduling; Microservice architecture,,,,,,,,"Zhang, Zhizhi (57299924300); Xu, Zhenan (57219183995); Li, Runlin (57943974600)",57299924300; 57219183995; 57943974600,2024,Proceedings of SPIE - The International Society for Optical Engineering,131591R,,,,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194153708&doi=10.1117%2f12.3024334&partnerID=40&md5=875122395483511087354a9909e08634,Final,,Scopus,2-s2.0-85194153708,Architecture; Cryptography; Data acquisition; Energy efficiency; Historic preservation; Metadata; Multitasking; Quality control; Comprehensive energy; Distributed application coordination service; Distributed applications; Distributed task scheduling; Distributed tasks; Energy services; Energy-consumption; Microservice architecture; Smart energies; Tasks scheduling; Energy utilization,,35,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,167,10.1145/3418899,"Brondolin, Rolando; Santambrogio, Marco D.",A Black-box Monitoring Approach to Measure Microservices Runtime Performance,ACM Trans. Archit. Code Optim.,,1544-3566,https://doi.org/10.1145/3418899,2020-11,,,,,,,"Microservices changed cloud computing by moving the applications’ complexity from one monolithic executable to thousands of network interactions between small components. Given the increasing deployment sizes, the architectural exploitation challenges, and the impact on data-centers’ power consumption, we need to efficiently track this complexity. Within this article, we propose a black-box monitoring approach to track microservices at scale, focusing on architectural metrics, power consumption, application performance, and network performance. The proposed approach is transparent w.r.t. the monitored applications, generates less overhead w.r.t. black-box approaches available in the state-of-the-art, and provides fine-grain accurate metrics.",,,,,,,,,,,,,,,,,,,,,,,,,,cloud computing; docker; kubernetes; Microservices; network performance monitoring; performance monitoring; power attribution,IC4 but might be useful,36,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,105,10.1109/IPDPSW63119.2024.00159,T. Menouer; C. Cérin; P. Darmon,KOptim: Kubernetes Optimization Framework,2024 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),,,,26-Jul-24,,,,,IEEE,,"As Kubernetes has become a de-facto standard for a portable, extensible, open-source platform for managing containerized workloads and services, this paper presents a new Kubernetes Optimization Framework called KOptim, which provides a generic schema for scheduling and resource management. Compared to existing Kubernetes frameworks and scheduling procedures, the advantages of KOptim are: (i) it facilitates the configuration of container resources using Service Level Agreement (SLA) classes, and (ii) it optimizes the online scheduling of containers using a Multi-Criteria Decision Making (MCDM) algorithm. In short, the main contribution of KOptim is to simplify Kubernetes scheduler optimization, as well as other issues related to container configuration and validation. In KOptim, we propose to configure and manage container resources using a new model with three SLA classes related to CPUs, memory, and storage space. Each SLA class has three Quality of Services (QoS): Premium, Advanced, and Best Effort. Using the KOptim SLA classes, users can select a range of values for a service instead of specifying a fixed amount of resources for each container. This is designed to help non-expert users who do not need to know exactly how many resources must be used to configure their containers easily. In the scheduling step, we suggest using a mechanism based on a multi-criteria decision algorithm that allows users to consider several criteria during the online scheduling decision. In summary, KOptim is a generic framework for Kubernetes distributions even K3s and MicroK8s which are adapted to Fog and Edge computing. Experimental results demonstrate the potential of our framework to improve performance in terms of runtime and energy consumption.",979-8-3503-6460-6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10596385,Container technology;Service Level Agreement;Online multi-criteria scheduling;Kubernetes ecosystem,,1,,34,IEEE,,,,,,,,,,,,,,,,,Energy consumption;Processor scheduling;Computational modeling;Quality of service;Containers;MCDM;Resource management,EC3,37,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,10,10.1007/978-3-031-48421-6_13,"Dinga, Madalina; Malavolta, Ivano; Giamattei, Luca; Guerriero, Antonio; Pietrantuono, Roberto",An Empirical Evaluation of&nbsp;the&nbsp;Energy and&nbsp;Performance Overhead of&nbsp;Monitoring Tools on&nbsp;Docker-Based Systems,"Service-Oriented Computing: 21st International Conference, ICSOC 2023, Rome, Italy, November 28 – December 1, 2023, Proceedings, Part I",978-3-031-48420-9,,https://doi.org/10.1007/978-3-031-48421-6_13,2023,,,,,Springer-Verlag,"Berlin, Heidelberg","Context. Energy efficiency is gaining importance in the design of software systems, but is still marginally addressed in the area of microservice-based systems. Energy-related aspects often get neglected in favor of other software quality attributes, such as performance, service composition, maintainability, and security.Goal. The aim of this study is to identify, synthesize and empirically evaluate the energy and performance overhead of monitoring tools employed in the microservices and DevOps context.Method. We selected four representative monitoring tools in the microservices and DevOps context. These were evaluated via a controlled experiment on an open-source Docker-based microservice benchmark system.Results. The results highlight: i) the specific frequency and workload conditions under which energy consumption and performance metrics are impacted by the tools; ii) the differences between the tools; iii) the relation between energy and performance overhead.",,,,,,,,,,,,,,,,,,,,,,,,,,,IC4,38,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,14,10.1007/s00607-019-00733-4,Lakhan A.; Li X.,Transient fault aware application partitioning computational offloading algorithm in microservices based mobile cloudlet networks,,,,,,,,,,,,"Mobile Cloudlet Computing paradigm (MCC) allows execution of resource-intensive mobile applications using computation cloud resources by exploiting computational offloading method for resource-constrained mobile devices. Whereas, computational offloading needs the mobile application to be partitioned during the execution in the MCC so that total execution cost is minimized. In the MCC, at the run-time network contexts (i.e., network bandwidth, signal strength, latency, etc.) are intermittently changed, and transient failures (due to temporary network connection failure, services busy, database disk out of storage) often occur for a short period of time. Therefore, transient failure aware partitioning of the mobile application at run-time is a challenging task. Since, existing MCC offers computational monolithic services by exploiting heavyweight virtual machines, which incurs with long VM startup time and high overhead, and these cannot meet the requirements of fine-grained microservices applications (e.g., E-healthcare, E-business, 3D-Game, and Augmented Reality). To cope up with prior issues, we propose microservices based mobile cloud platform by exploiting containerization which replaces heavyweight virtual machines, and we propose the application partitioning task assignment (APTA) algorithm which determines application partitioning at run-time and adopts the fault aware (FA) policy to execute microservices applications robustly without interruption in the MCC. Simulation results validate that the proposed microservices mobile cloud platform not only shrinks the setup time of run-time platform but also reduce the energy consumption of nodes and improve the application response time by exploiting APTA and FA to the existing VM based MCC and application partitioning strategies. © 2019, Springer-Verlag GmbH Austria, part of Springer Nature.",,,,Application partitioning; Application programming interface (API); APTA; FA; Microservices; Min-cut; Mobile cloudlet computing; Offloadi ng; Representational state transfer (REST),,,,,,,,"Lakhan, Abdullah (57209259574); Li, Xiaoping (55900922400)",57209259574; 55900922400,2020,Computing,,105,139,34,41,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067040812&doi=10.1007%2fs00607-019-00733-4&partnerID=40&md5=d962d0ae3742a573ac5b2abe6895172e,Final,,Scopus,2-s2.0-85067040812,Application programming interfaces (API); Augmented reality; Energy utilization; Green computing; Interface states; mHealth; Mobile computing; Network security; Simulation platform; Virtual machine; Application partitioning; APTA; Microservices; Min-cut; Mobile cloudlet computing; Offloadi ng; Representational state transfer; Mobile cloud computing,IC3,39,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,33,10.1016/j.suscom.2025.101088,Laso S.; Rodríguez P.; Herrera J.L.; Berrocal J.; Murillo J.M.,Energy consumption and workload prediction for edge nodes in the Computing Continuum,,,,,,,,,,,,"The Computing Continuum paradigm provides developers with a distributed infrastructure for deploying applications through the network, improving performance and energy consumption. However, to maintain applications’ efficiency, their deployment in the Computing Continuum has to be continuously adapted to the varying load of different nodes of the network. In practice, existing support frameworks allow developers to automatically identify how to deploy applications based on the infrastructure status. However, as the application takes time to be deployed, the chosen deployment is outdated once it is applied through the network, as workloads change over time. To address this practical engineering challenge and plan deployments that foresee changes in energy consumption and workload, predictive solutions are needed. To fulfill this need, this work presents the Microservice Energy consumption and Workload Forecaster (MEWF), a prediction system that leverages artificial intelligence techniques to precisely predict CPU usage and energy consumption in varying circumstances. Our practical evaluation over multiple real microservices shows that MEWF improves prediction precision by up to 55% w.r.t. state-of-the-art benchmarks, enabling efficient resource management and demonstrating significant value for real-world deployments. © 2025",,,,Artificial Intelligence; Computing Continuum; Energy consumption; Microservices; Workload prediction,,,,,,,,"Laso, Sergio (57215899094); Rodríguez, Pablo (59510541000); Herrera, Juan Luis (57215896262); Berrocal, Javier (32667521200); Murillo, Juan M. (8687210000)",57215899094; 59510541000; 57215896262; 32667521200; 8687210000,2025,Sustainable Computing: Informatics and Systems,101088,,,,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216566548&doi=10.1016%2fj.suscom.2025.101088&partnerID=40&md5=4e078c054bd4918f2fd8a7d05c018de2,Final,,Scopus,2-s2.0-85216566548,Change-over time; Computing continuum; Distributed infrastructure; Edge nodes; Energy consumption prediction; Energy-consumption; Improving performance; Microservice; Varying load; Workload predictions,IC4,40,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,184,10.1145/3715700,"Yang, Yihong; Zhou, Zhangbing; Shu, Lei; Zhou, Feng; Gaaloul, Walid; Khan, Arif Ali",Web 3.0-Enabled Microservice Re-Scheduling for Heterogenous Resources Co-Optimization in Metaverse-Integrated Edge Networks,ACM Trans. Auton. Adapt. Syst.,,1556-4665,https://doi.org/10.1145/3715700,2025-01,,,,,,,"The Web 3.0 and metaverse can empower intelligent application of Connected Autonomous Vehicles (CAVs). The adoption of edge computing can contribute to the low latency interaction between CAVs and the metaverse. Microservices are widely deployed on edge networks and the cloud nowadays. User's requests from CAVs are typically fulfilled through the composition of microservices, which may be hosted by contiguous edge nodes. Requests may differ on their required resources at runtime. Consequently, when requests are continuously injected into edge networks, the usage of heterogenous resources, including CPU, memory, and network bandwidth, may not be the same, or differ significantly, on certain edge nodes. This happens especially when burst requests are injected into the network to be satisfied concurrently. Therefore, the usage of heterogenous resources provided by edge nodes should be co-optimized through re-scheduling microservices. To address this challenge, this paper proposes a Web 3.0-enabled Microservice Re-Scheduling approach (called MRS), which is a migration-based mechanism integrating a placement strategy. Specifically, we formulate the microservice re-scheduling task as a multi-objective and multi-constraint optimization problem, which can be solved through a penalty signal-integrated framework and an improved pointer network. Extensive experiments are conducted on two real-world datasets. Evaluation results show that our MRS performs better than the counterparts with improvements of at least 7.7%, 2.4% and 2.2% in terms of network throughput, latency and energy consumption.",,,,,,,,,,,,,,,,,,,,,,,,,,Connected Autonomous Vehicles (CAVs); Heterogenous Resources Co-Optimization; Metaverse; Microservice Re-Scheduling; Web 3.0,IC4,41,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,183,10.1145/3674734,"Antoniou, Georgia; Bartolini, Davide; Volos, Haris; Kleanthous, Marios; Wang, Zhe; Kalaitzidis, Kleovoulos; Rollet, Tom; Li, Ziwei; Mutlu, Onur; Sazeides, Yiannakis; Haj Yahya, Jawad",Agile C-states: A Core C-state Architecture for Latency Critical Applications Optimizing both Transition and Cold-Start Latency,ACM Trans. Archit. Code Optim.,,1544-3566,https://doi.org/10.1145/3674734,2024-11,,,,,,,"Latency-critical applications running in modern datacenters exhibit irregular request arrival patterns and are implemented using multiple services with strict latency requirements (30–250μs). These characteristics render existing energy-saving idle CPU sleep states ineffective due to the performance overhead caused by the state’s transition latency. Besides the state transition latency, another important contributor to the performance overhead of sleep states is the cold-start latency, or in other words, the time required to warm up the microarchitectural state (e.g., cache contents, branch predictor metadata) that is flushed or discarded when transitioning to a lower-power state. Both the transition latency and cold-start latency can be particularly detrimental to the performance of latency critical applications with short execution times. While prior work focuses on mitigating the effects of transition and cold-start latency by optimizing request scheduling, in this work we propose a redesign of the core C-state architecture for latency-critical applications. In particular, we introduce C6Awarm, a new Agile core C-state that drastically reduces the performance overhead caused by idle sleep state transition latency and cold-start latency while maintaining significant energy savings. C6Awarm achieves its goals by (1) implementing medium-grained power gating, (2) preserving the microarchitectural state of the core, and (3) keeping the clock generator and PLL active and locked. Our analysis for a set of microservices based on an Intel Skylake server shows that C6Awarm manages to reduce the energy consumption by up to 70% with limited performance degradation (at most 2%).",,,,,,,,,,,,,,,,,,,,,,,,,,microservices; datacenters; Power management; C-states; idle states,IC4,42,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,168,10.1145/3423211.3425683,"Gunasekaran, Jashwant Raj; Thinakaran, Prashanth; Nachiappan, Nachiappan C.; Kandemir, Mahmut Taylan; Das, Chita R.",Fifer: Tackling Resource Underutilization in the Serverless Era,Proceedings of the 21st International Middleware Conference,978-1-4503-8153-6,,https://doi.org/10.1145/3423211.3425683,2020,Middleware '20,,,,Association for Computing Machinery,"New York, NY, USA","Datacenters are witnessing a rapid surge in the adoption of serverless functions for microservices-based applications. A vast majority of these microservices typically span less than a second, have strict SLO requirements, and are chained together as per the requirements of an application. The aforementioned characteristics introduce a new set of challenges, especially in terms of container provisioning and management, as the state-of-the-art resource management frameworks, employed in serverless platforms, tend to look at microservice-based applications similar to conventional monolithic applications. Hence, these frameworks suffer from microservice agnostic scheduling and colossal container over-provisioning, especially during workload fluctuations, thereby resulting in poor resource utilization.In this work, we quantify the above shortcomings using a variety of workloads on a multi-node cluster managed by the Kubernetes and Brigade serverless framework. To address them, we propose Fifer — an adaptive resource management framework to efficiently manage function-chains on serverless platforms. The key idea is to make Fifer (i) utilization conscious by efficiently bin packing jobs to fewer containers using function-aware container scaling and intelligent request batching, and (ii) at the same time, SLO-compliant by proactively spawning containers to avoid cold-starts, thus minimizing the overall response latency. Combining these benefits, Fifer improves container utilization and cluster-wide energy consumption by 4× and 31%, respectively, without compromising on SLO's, when compared to the state-of-the-art schedulers employed by serverless platforms.",,,,,,,,,,,,,,,,,,,,,,,,,,scheduling; serverless; resource-management; queuing,IC4,43,0
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,19,10.1007/s11227-023-05202-6,Guamán D.; Pérez J.; Valdiviezo-Diaz P.,Estimating the energy consumption of model-view-controller applications,,,,,,,,,,,,"For information and communication technology to reach its goal of zero emissions in 2050, power consumption must be reduced, including the energy consumed by software. To develop sustainability-aware software, green metrics have been implemented to estimate the energy consumed by the execution of an application. However, they have a rebound energy consumption effect because they require an application to be executed to estimate the energy consumed after each change. To address this problem, it is necessary to construct energy estimation models that do not require the execution of applications. This work addresses this problem by constructing a green model based on size, complexity and duplicated lines to estimate the energy consumed by model-view-controller applications without their execution. This article defines a model constructed based on 52 applications. The results were accurate in twelve applications, which showed that the joule estimation was very close to reality, avoiding the energy consumed by the execution of applications. © 2023, The Author(s).",,,,Architectural patterns; Energy consumption estimation; Green software; Model-view controller (MVC); Software architectures,,,,,,,,"Guamán, Daniel (57188566526); Pérez, Jennifer (37043795900); Valdiviezo-Diaz, Priscila (36186316400)",57188566526; 37043795900; 36186316400,2023,Journal of Supercomputing,,13766,13793,27,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151338800&doi=10.1007%2fs11227-023-05202-6&partnerID=40&md5=647088e011dc284be3e69deeef20d643,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85151338800,Application programs; Controllers; Software architecture; Architectural pattern; Energy; Energy consumption estimation; Energy-consumption; Green metrics; Green software; Information and Communication Technologies; Model-view controller; Zero emission; Energy utilization,IC4,44,0
