citekey,title,doi
e_ahvar_deca_nodate,{DECA}: {A} {Dynamic} {Energy} {Cost} and {Carbon} {Emission}-{Efficient} {Application} {Placement} {Method} for {Edge} {Clouds},10.1109/ACCESS.2021.3075973
calagna_a_enabling_nodate,Enabling efficient collection and usage of network performance metrics at the edge,10.1016/j.comnet.2025.111158
m_vitali_enriching_nodate,Enriching {Cloud}-native {Applications} with {Sustainability} {Features},10.1109/IC2E59103.2023.00011
j_a_larracoechea_radiance_nodate,{RADIANCE}: {A} {CASE} {Tool} {For} {Green} {Software} {Design},10.1109/WETICE64632.2024.00024
v_berry_is_nodate,"Is it {Worth} {Migrating} a {Monolith} to {Microservices}? {An} {Experience} {Report} on {Performance}, {Availability} and {Energy} {Usage}",10.1109/ICWS62655.2024.00112
n_schmitt_online_nodate,Online {Power} {Consumption} {Estimation} for {Functions} in {Cloud} {Applications},10.1109/ICAC.2019.00018
a_mokhtari_towards_nodate,Towards {Digital} {Sustainability}: {Involving} {Cloud} {Users} as {Key} {Players},10.1109/IC2E61754.2024.00021
brondolin_black-box_nodate,A {Black}-box {Monitoring} {Approach} to {Measure} {Microservices} {Runtime} {Performance},10.1145/3418899
dinga_empirical_nodate,An {Empirical} {Evaluation} of the {Energy} and {Performance} {Overhead} of {Monitoring} {Tools} on {Docker}-{Based} {Systems},10.1007/978-3-031-48421-6_13
c_courageux-sudan_studying_nodate,"Studying the end-to-end performance, energy consumption and carbon footprint of fog applications",10.1109/ISCC61673.2024.10733735
m_s_floroiu_anomaly_nodate,Anomaly {Detection} and {Root} {Cause} {Analysis} of {Microservices} {Energy} {Consumption},10.1109/ICWS62655.2024.00079
g_h_prathama_green_nodate,Green {Computing} {Implementation} for {Indonesian} {Higher} {Education} {Adopting} {Serverless} {Microservices} {Architecture},10.1109/ICSCC62041.2024.10690844
antoniou_agile_nodate,Agile {C}-states: {A} {Core} {C}-state {Architecture} for {Latency} {Critical} {Applications} {Optimizing} both {Transition} and {Cold}-{Start} {Latency},10.1145/3674734
